path	block_type	mask_type	reference_block	link_status	runtime_token
IEEE39bus/SM_measurement/Memory	Memory			none	
IEEE39bus/SM_measurement/Memory1	Memory			none	
IEEE39bus/SM_measurement/Memory2	Memory			none	
IEEE39bus/SM_measurement/Memory3	Memory			none	
IEEE39bus/SM_measurement/Memory4	Memory			none	
IEEE39bus/SM_measurement/Memory7	Memory			none	
IEEE39bus/SM_measurement/Memory8	Memory			none	
IEEE39bus/SM_measurement/Mux1	Mux			none	
IEEE39bus/SM_measurement/Mux10	Mux			none	
IEEE39bus/SM_measurement/Mux11	Mux			none	
IEEE39bus/SM_measurement/Mux12	Mux			none	
IEEE39bus/SM_measurement/Mux13	Mux			none	
IEEE39bus/SM_measurement/Mux15	Mux			none	
IEEE39bus/SM_measurement/Mux19	Mux			none	
IEEE39bus/SM_measurement/Mux2	Mux			none	
IEEE39bus/SM_measurement/Mux20	Mux			none	
IEEE39bus/SM_measurement/Mux21	Mux			none	
IEEE39bus/SM_measurement/Mux3	Mux			none	
IEEE39bus/SM_measurement/Mux4	Mux			none	
IEEE39bus/SM_measurement/Mux5	Mux			none	
IEEE39bus/SM_measurement/Mux6	Mux			none	
IEEE39bus/SM_measurement/Mux7	Mux			none	
IEEE39bus/SM_measurement/Mux8	Mux			none	
IEEE39bus/SM_measurement/Mux9	Mux			none	
IEEE39bus/SM_measurement/OpComm2	Reference			unresolved	opcomm
IEEE39bus/SM_measurement/Recording	SubSystem			none	
IEEE39bus/SM_measurement/Recording/Constant	Constant			none	
IEEE39bus/SM_measurement/Recording/Constant4	Constant			none	
IEEE39bus/SM_measurement/Recording/Constant5	Constant			none	
IEEE39bus/SM_measurement/Recording/From1	From			none	
IEEE39bus/SM_measurement/Recording/From19	From			none	
IEEE39bus/SM_measurement/Recording/From2	From			none	
IEEE39bus/SM_measurement/Recording/From20	From			none	
IEEE39bus/SM_measurement/Recording/From21	From			none	
IEEE39bus/SM_measurement/Recording/From3	From			none	
IEEE39bus/SM_measurement/Recording/G_3-V_I_P_Q_Vf_Speed1	Reference			unresolved	
IEEE39bus/SM_measurement/Recording/G_3-V_I_P_Q_Vf_Speed2	Reference			unresolved	
IEEE39bus/SM_measurement/Recording/G_3-V_I_P_Q_Vf_Speed4	Reference			unresolved	
IEEE39bus/SM_measurement/Recording/Generator 1 bus voltage4	From			none	
IEEE39bus/SM_measurement/Recording/Generator 1 bus voltage5	From			none	
IEEE39bus/SM_measurement/Recording/Generator 1 bus voltage6	From			none	
IEEE39bus/SM_measurement/Recording/Monostable	SubSystem	Monostable Flip-Flop	powerlib_extras/Control  Blocks/Monostable	resolved	
IEEE39bus/SM_measurement/Recording/Monostable/In	Inport		powerlib_extras/Control  Blocks/Monostable/In	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Clock	Clock		powerlib_extras/Control  Blocks/Monostable/Clock	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector	SubSystem	Edge Detector	powerlib_extras/Control  Blocks/Monostable/Edge Detector	implicit	
IEEE39bus/SM_measurement/Recording/Monostable/Edge Detector/In	Inport		powerlib_extras/Control  Blocks/Monostable/Edge Detector/In	implicit	
